,birth_date,college,end_year,height,player id,player name,position,start_year,weight
3716,19501111,University of Southern California,1976,6-8,rileyro01,Ron Riley,F,1973,195
3717,19490803,Saint Peter's College,1974,6-3,rinalri01,Rich Rinaldi,G,1972,195
3718,19450709,Providence College,1977,6-4,riordmi01,Mike Riordan,G-F,1969,200
3719,19241009,Ohio State University,1958,6-9,risenar01,Arnie Risen,C-F,1949,200
3720,19240226,Eastern Kentucky University,1951,6-2,rittete01,Tex Ritter,G-F,1949,185
3721,19660603,Temple University,1989,6-10,rivasra01,Ramon Rivas,F-C,1989,260
3722,19920801,Duke University,2017,6-4,riverau01,Austin Rivers,G,2013,200
3723,19650120,University of Notre Dame,1992,6-0,riverda01,David Rivers,G,1989,170
3724,19611013,Marquette University,1996,6-4,riverdo01,Doc Rivers,G,1984,185
3725,19220211,University of Colorado,1949,6-3,robbile01,Lee Robbins,F,1948,175
3726,19440930,University of Tennessee,1975,6-8,robbire01,Red Robbins,F-C,1968,190
3727,19911204,University of Colorado,2017,6-7,roberan03,Andre Roberson,G-F,2014,210
3728,19830214,University of Florida,2009,6-2,roberan02,Anthony Roberson,G,2006,180
3729,19470707,University of Cincinnati,1976,6-9,roberri01,Rick Roberson,C-F,1970,231
3730,19761230,"California State University, Fresno",2001,6-7,roberte01,Terrance Roberson,F,2001,215
3731,19550415,Oral Roberts University,1984,6-5,roberan01,Anthony Roberts,F-G,1978,185
3732,19250313,University of Wyoming,1950,6-9,roberbi01,Bill Roberts,C,1949,210
3733,19851203,University of Dayton,2017,6-1,roberbr01,Brian Roberts,G,2013,173
3734,19600814,Brigham Young University,1997,6-10,roberfr01,Fred Roberts,F-C,1984,218
3735,19360518,Ohio State University,1968,6-6,roberjo01,Joe Roberts,F,1961,214
3736,19821020,Mississippi State University,2007,6-9,roberla01,Lawrence Roberts,F,2006,240
3737,19500129,Utah State University,1977,6-8,roberma01,Marv Roberts,F-C,1972,200
3738,19700207,Louisiana State University,2000,7-0,roberst01,Stanley Roberts,C,1992,285
3739,19620722,University of Arkansas,1996,6-3,roberal01,Alvin Robertson,G,1985,185
3740,19381124,University of Cincinnati,1974,6-5,roberos01,Oscar Robertson,G-F,1961,205
3741,19761002,University of Kansas,2000,6-5,roberry01,Ryan Robertson,G,2000,190
3742,19560101,West Virginia University,1979,6-4,roberto01,Tony Robertson,G,1978,195
3743,19560130,University of Kentucky,1986,6-11,robeyri01,Rick Robey,C-F,1979,230
3744,19801226,University of Michigan,2007,6-6,robinbe01,Bernard Robinson,G-F,2005,210
